E850 carbon data: Leksanov et al. PRL 87, 212301 (2001) 
5.9 0.20  0.03
8.0 0.34  0.05 
9.1 0.47  0.11 
11.6 0.23 0.06 
14.4 0.10 0.07 
E850 carbon data Leksanov PhD thesis
10.0 0.53 0.15 
12.8 0.14 0.07 
15.8 0.06 0.07 
E850 carbon results: Mardor et al. PRL 81, 5085 (1998) 
5.9 0.16 0.02 
7.5 0.20 0.02

